iter,objective,grad_norm
9.700000000000000000e+01,4.904181590784085643e+01,4.616424801979152335e+02
9.800000000000000000e+01,4.877463797203716922e+01,4.577603592278031783e+02
9.900000000000000000e+01,4.851192701587137890e+01,4.539331729731310361e+02
1.000000000000000000e+02,4.825357904309932877e+01,4.501824543636909652e+02
1.010000000000000000e+02,4.799947387314647074e+01,4.464894349589920353e+02
1.020000000000000000e+02,4.774951607483453131e+01,4.428529551211800595e+02
1.030000000000000000e+02,4.750359734458029237e+01,4.392942797644236634e+02
1.040000000000000000e+02,4.726161083048565814e+01,4.357791266041780318e+02
1.050000000000000000e+02,4.702347570758605855e+01,4.323133286854134667e+02
1.060000000000000000e+02,4.678910578240522966e+01,4.289015403163278393e+02
1.070000000000000000e+02,4.655841466245565385e+01,4.255427808325602541e+02
1.080000000000000000e+02,4.633131129585525088e+01,4.222447662275356493e+02
1.090000000000000000e+02,4.610771363914556531e+01,4.189811921556757852e+02
1.100000000000000000e+02,4.588754959037226655e+01,4.157773505301462933e+02
1.110000000000000000e+02,4.567073191117903264e+01,4.126283165610682317e+02
1.120000000000000000e+02,4.545717957064910308e+01,4.095346902975988996e+02
1.130000000000000000e+02,4.524680762256103606e+01,4.064960982595086989e+02
1.140000000000000000e+02,4.503953929089622932e+01,4.035028821185406400e+02
1.150000000000000000e+02,4.483530828137948987e+01,4.005492911267470504e+02
1.160000000000000000e+02,4.463404816954039234e+01,3.976514630966924528e+02
1.170000000000000000e+02,4.443568271250004642e+01,3.948047449153059461e+02
1.180000000000000000e+02,4.424013428898720690e+01,3.920251868898723160e+02
1.190000000000000000e+02,4.404732386611524220e+01,3.892905357106499764e+02
1.200000000000000000e+02,4.385718839248757916e+01,3.865934615149238311e+02
1.210000000000000000e+02,4.366967637048367834e+01,3.839250208468268966e+02
1.220000000000000000e+02,4.348473872365305226e+01,3.813015558019527020e+02
1.230000000000000000e+02,4.330231411937203490e+01,3.787137115847684186e+02
1.240000000000000000e+02,4.312235610322583312e+01,3.761500163884834365e+02
1.250000000000000000e+02,4.294482012534466264e+01,3.736374978015304578e+02
1.260000000000000000e+02,4.276963958450035364e+01,3.711679874940592185e+02
1.270000000000000000e+02,4.259676615765984309e+01,3.687197880489242721e+02
1.280000000000000000e+02,4.242616059695568254e+01,3.663113946792983029e+02
1.290000000000000000e+02,4.225777316952081719e+01,3.639329818819977049e+02
1.300000000000000000e+02,4.209156237402996226e+01,3.615809074972667077e+02
1.310000000000000000e+02,4.192749070109237408e+01,3.592562726857619282e+02
1.320000000000000000e+02,4.176551953267349404e+01,3.569564234494962420e+02
1.330000000000000000e+02,4.160561070585446686e+01,3.546924055306232049e+02
1.340000000000000000e+02,4.144772055307162617e+01,3.524562191484802725e+02
1.350000000000000000e+02,4.129181343698081008e+01,3.502463783255261660e+02
1.360000000000000000e+02,4.113784961635971626e+01,3.480703141818829067e+02
1.370000000000000000e+02,4.098579177175804489e+01,3.459163455004073739e+02
1.380000000000000000e+02,4.083560458541457194e+01,3.438018793920548433e+02
1.390000000000000000e+02,4.068724439175687735e+01,3.417130012561716512e+02
1.400000000000000000e+02,4.054068029075844493e+01,3.396440230993260911e+02
1.410000000000000000e+02,4.039588003651815029e+01,3.376146635446862092e+02
1.420000000000000000e+02,4.025280297633261029e+01,3.356045577243142475e+02
1.430000000000000000e+02,4.011142161499145686e+01,3.336199206593339568e+02
1.440000000000000000e+02,3.997170416003780247e+01,3.316671593624096772e+02
1.450000000000000000e+02,3.983361248745046623e+01,3.297501353184635491e+02
1.460000000000000000e+02,3.969710848942946058e+01,3.278604772649147208e+02
1.470000000000000000e+02,3.956216230264643485e+01,3.259911345733592611e+02
1.480000000000000000e+02,3.942874937748217690e+01,3.241377762211341746e+02
1.490000000000000000e+02,3.929684859465621827e+01,3.222975610034717988e+02
1.500000000000000000e+02,3.916644016858283806e+01,3.204762991824575806e+02
1.510000000000000000e+02,3.903749775023559465e+01,3.186811939958782887e+02
1.520000000000000000e+02,3.890999234197691692e+01,3.169146337832654581e+02
1.530000000000000000e+02,3.878389351796143103e+01,3.151776889710364458e+02
1.540000000000000000e+02,3.865916833495513316e+01,3.134709661421400710e+02
1.550000000000000000e+02,3.853578753352731212e+01,3.117848939332665168e+02
1.560000000000000000e+02,3.841372836027657911e+01,3.101191782628566784e+02
1.570000000000000000e+02,3.829296872747253389e+01,3.084681748937166503e+02
1.580000000000000000e+02,3.817349061923671627e+01,3.068295269461212342e+02
1.590000000000000000e+02,3.805527722625082987e+01,3.052082041052530030e+02
1.600000000000000000e+02,3.793830597115656644e+01,3.036147340320262629e+02
1.610000000000000000e+02,3.782254947548040747e+01,3.020509059209008456e+02
1.620000000000000000e+02,3.770797935119366429e+01,3.005076701523282736e+02
1.630000000000000000e+02,3.759457484073774935e+01,2.989852587184080903e+02
1.640000000000000000e+02,3.748231450433679868e+01,2.974786441741505314e+02
1.650000000000000000e+02,3.737118159598522027e+01,2.959851174382844761e+02
1.660000000000000000e+02,3.726115982040574437e+01,2.945110601702562008e+02
1.670000000000000000e+02,3.715223014941005175e+01,2.930484954974963330e+02
1.680000000000000000e+02,3.704437909328969170e+01,2.915983081072864138e+02
1.690000000000000000e+02,3.693758811495562355e+01,2.901829583057967739e+02
1.700000000000000000e+02,3.683182795476442095e+01,2.887907754793205868e+02
1.710000000000000000e+02,3.672707838950853443e+01,2.874139258798089713e+02
1.720000000000000000e+02,3.662332455815938204e+01,2.860467106216702859e+02
1.730000000000000000e+02,3.652055514997873331e+01,2.846880058895594061e+02
1.740000000000000000e+02,3.641875628985335567e+01,2.833584560485449515e+02
1.750000000000000000e+02,3.631790287739006118e+01,2.820491840118799018e+02
1.760000000000000000e+02,3.621797888901024010e+01,2.807499412043491702e+02
1.770000000000000000e+02,3.611897119991492389e+01,2.794690394947839991e+02
1.780000000000000000e+02,3.602086332469631458e+01,2.782012253507231208e+02
1.790000000000000000e+02,3.592364323063664244e+01,2.769409817367630922e+02
1.800000000000000000e+02,3.582730134457008120e+01,2.756904716169373160e+02
1.810000000000000000e+02,3.573182690087881497e+01,2.744492057534404239e+02
1.820000000000000000e+02,3.563720924492498909e+01,2.732191581535207661e+02
1.830000000000000000e+02,3.554343742350128821e+01,2.719966625100769306e+02
1.840000000000000000e+02,3.545050224418081797e+01,2.707851995128455087e+02
1.850000000000000000e+02,3.535839166056541671e+01,2.695870996632996253e+02
